Date       ,Season               ,Day Name                     ,Meditation        ,OT Reading                               ,NT Reading
2024-02-07 ,First Ordinary Time  ,Wednesday of Week 1          ,Psalm             ,                                         ,John 4
2024-02-08 ,First Ordinary Time  ,Thursday of Week 1           ,Psalm             ,                                         ,John 5
2024-02-09 ,First Ordinary Time  ,Friday of Week 1             ,Psalm             ,                                         ,John 6
2024-02-10 ,First Ordinary Time  ,Saturday of Week 1           ,Psalm             ,                                         ,John 7
2024-02-11 ,First Ordinary Time  ,2nd Sunday                   ,Psalm             ,                                         ,John 8
2024-02-12 ,First Ordinary Time  ,Monday of Week 2             ,Psalm             ,                                         ,John 9
2024-02-13 ,First Ordinary Time  ,Shrove Tuesday (Pancake Day) ,Psalm             ,                                         ,John 10
2024-02-14 ,Lent                 ,Ash Wednesday                ,Psalm             ,Genesis 1-4                              ,
2024-02-15 ,Lent                 ,Thursday of Week 0           ,Psalm             ,Genesis 5-6:8                            ,
2024-02-16 ,Lent                 ,Friday of Week 0             ,Psalm             ,Genesis 6:9-11:26                        ,
2024-02-17 ,Lent                 ,Saturday of Week 0           ,Psalm             ,                                         ,
2024-02-18 ,Lent                 ,1st Sunday                   ,Psalm             ,Genesis 11:27-14                         ,
2024-02-19 ,Lent                 ,Monday of Week 1             ,Psalm             ,Genesis 15-17                            ,
2024-02-20 ,Lent                 ,Tuesday of Week 1            ,Psalm             ,Genesis 18-19                            ,
2024-02-21 ,Lent                 ,Wednesday of Week 1          ,Psalm             ,Genesis 20-22                            ,
2024-02-22 ,Lent                 ,Thursday of Week 1           ,Psalm             ,Genesis 22-25:11                         ,
2024-02-23 ,Lent                 ,Friday of Week 1             ,Psalm             ,                                         ,
2024-02-24 ,Lent                 ,Saturday of Week 1           ,Psalm             ,Genesis 25:19-28                         ,
2024-02-25 ,Lent                 ,2nd Sunday                   ,Psalm             ,Genesis 29-31                            ,
2024-02-26 ,Lent                 ,Monday of Week 2             ,Psalm             ,Genesis 32-36                            ,
2024-02-27 ,Lent                 ,Tuesday of Week 2            ,Psalm             ,                                         ,
2024-02-28 ,Lent                 ,Wednesday of Week 2          ,Psalm             ,Genesis 37-40                            ,
2024-02-29 ,Lent                 ,Thursday of Week 2           ,Psalm             ,Genesis 41-42                            ,
2024-03-01 ,Lent                 ,Friday of Week 2             ,Psalm             ,Genesis 43-45                            ,
2024-03-02 ,Lent                 ,Saturday of Week 2           ,Psalm             ,Genesis 46-47                            ,
2024-03-03 ,Lent                 ,3rd Sunday                   ,Psalm             ,Genesis 48-50                            ,
2024-03-04 ,Lent                 ,Monday of Week 3             ,Psalm             ,                                         ,
2024-03-05 ,Lent                 ,Tuesday of Week 3            ,Psalm             ,Job 1-2                                  ,
2024-03-06 ,Lent                 ,Wednesday of Week 3          ,Psalm             ,Job 3-5                                  ,
2024-03-07 ,Lent                 ,Thursday of Week 3           ,Psalm             ,Job 6-7                                  ,
2024-03-08 ,Lent                 ,Friday of Week 3             ,Psalm             ,Job 8-10                                 ,
2024-03-09 ,Lent                 ,Saturday of Week 3           ,Psalm             ,Job 11-14                                ,
2024-03-10 ,Lent                 ,4th Sunday                   ,Psalm             ,Job 15-17                                ,
2024-03-11 ,Lent                 ,Monday of Week 4             ,Psalm             ,Job 18-19                                ,
2024-03-12 ,Lent                 ,Tuesday of Week 4            ,Psalm             ,Job 20-21                                ,
2024-03-13 ,Lent                 ,Wednesday of Week 4          ,Psalm             ,Job 22-24                                ,
2024-03-14 ,Lent                 ,Thursday of Week 4           ,Psalm             ,Job 25-27                                ,
2024-03-15 ,Lent                 ,Friday of Week 4             ,Psalm             ,Job 28                                   ,
2024-03-16 ,Lent                 ,Saturday of Week 4           ,Psalm             ,                                         ,
2024-03-17 ,Lent                 ,5th Sunday                   ,Psalm             ,Job 29-31                                ,
2024-03-18 ,Lent                 ,Monday of Week 5             ,Psalm             ,Job 32-34                                ,
2024-03-19 ,Lent                 ,Tuesday of Week 5            ,Psalm             ,Job 35-37                                ,
2024-03-20 ,Lent                 ,Wednesday of Week 5          ,Psalm             ,Job 38-39                                ,
2024-03-21 ,Lent                 ,Thursday of Week 5           ,Psalm             ,Job 40-42:6                              ,
2024-03-22 ,Lent                 ,Friday of Week 5             ,Psalm             ,Job 42:7-17                              ,
2024-03-23 ,Lent                 ,Saturday of Week 5           ,Psalm             ,                                         ,
2024-03-24 ,Lent                 ,Palm Sunday                  ,Psalm             ,Exodus 1-2                               ,John 12:12-19; Matthew 21:1-17
2024-03-25 ,Lent                 ,Holy Monday                  ,Psalm             ,Exodus 3-4                               ,John 12:20-36; Matthew 21:18-46
