Date       ,Season               ,Day Name                                     ,OT Reading                              ,NT Reading
2025-09-26 ,Second Ordinary Time ,Friday of Week 15 of Second Ordinary Time    ,Ezekiel 13-15                           ,Colossians 3-4
2025-09-27 ,Second Ordinary Time ,Saturday of Week 15 of Second Ordinary Time  ,Ezekiel 16-18                           ,1 Thessalonians 1-2
2025-09-28 ,Second Ordinary Time ,16 Sunday of Second Ordinary Time            ,Ezekiel 19-21                           ,1 Thessalonians 3-4
2025-09-29 ,Second Ordinary Time ,Monday of Week 16 of Second Ordinary Time    ,Ezekiel 22-24                           ,1 Thessalonians 5
2025-09-30 ,Second Ordinary Time ,Tuesday of Week 16 of Second Ordinary Time   ,Ezekiel 25-27                           ,2 Thessalonians 1-3
2025-10-01 ,Second Ordinary Time ,Wednesday of Week 16 of Second Ordinary Time ,Ezekiel 28-30                           ,
2025-10-02 ,Second Ordinary Time ,Thursday of Week 16 of Second Ordinary Time  ,Ezekiel 31-33                           ,
2025-10-03 ,Second Ordinary Time ,Friday of Week 16 of Second Ordinary Time    ,Ezekiel 34-36                           ,
2025-10-04 ,Second Ordinary Time ,Saturday of Week 16 of Second Ordinary Time  ,Ezekiel 37-39                           ,
2025-10-05 ,Second Ordinary Time ,Harvest                                      ,Ezekiel 40-44                           ,
2025-10-06 ,Second Ordinary Time ,Monday of Week 17 of Second Ordinary Time    ,Ezekiel 45-48                           ,
2025-10-07 ,Second Ordinary Time ,Tuesday of Week 17 of Second Ordinary Time   ,Ezra 1-3                                ,1 Timothy 1-3
2025-10-08 ,Second Ordinary Time ,Wednesday of Week 17 of Second Ordinary Time ,Ezra 4-7                                ,1 Timothy 4-6
2025-10-09 ,Second Ordinary Time ,Thursday of Week 17 of Second Ordinary Time  ,Ezra 8-10                               ,2 Timothy 1-4
2025-10-10 ,Second Ordinary Time ,Friday of Week 17 of Second Ordinary Time    ,Nehemiah 1-3                            ,Titus 1-3
2025-10-11 ,Second Ordinary Time ,Saturday of Week 17 of Second Ordinary Time  ,Nehemiah 4-6                            ,Philemon 1
2025-10-12 ,Second Ordinary Time ,18 Sunday of Second Ordinary Time            ,Nehemiah 7-9                            ,Hebrews 1-2
2025-10-13 ,Second Ordinary Time ,Monday of Week 18 of Second Ordinary Time    ,Nehemiah 10-11                          ,Hebrews 3-4
2025-10-14 ,Second Ordinary Time ,Tuesday of Week 18 of Second Ordinary Time   ,Nehemiah 12-13                          ,Hebrews 5-6
2025-10-15 ,Second Ordinary Time ,Wednesday of Week 18 of Second Ordinary Time ,Esther 1-5                              ,Hebrews 7-8
2025-10-16 ,Second Ordinary Time ,Thursday of Week 18 of Second Ordinary Time  ,Esther 6-10                             ,Hebrews 9-10
2025-10-17 ,Second Ordinary Time ,Friday of Week 18 of Second Ordinary Time    ,Daniel 1-3                              ,Hebrews 11-13
2025-10-18 ,Second Ordinary Time ,Saturday of Week 18 of Second Ordinary Time  ,Daniel 4-6                              ,James 1-3
2025-10-19 ,Second Ordinary Time ,19 Sunday of Second Ordinary Time            ,Daniel 7-9                              ,James 4-5
2025-10-20 ,Second Ordinary Time ,Monday of Week 19 of Second Ordinary Time    ,Daniel 10-12                            ,1 Peter 1-2
2025-10-21 ,Second Ordinary Time ,Tuesday of Week 19 of Second Ordinary Time   ,Haggai 1-2                              ,1 Peter 3-5
2025-10-22 ,Second Ordinary Time ,Wednesday of Week 19 of Second Ordinary Time ,Zechariah 1-4                           ,2 Peter 1-3
2025-10-23 ,Second Ordinary Time ,Thursday of Week 19 of Second Ordinary Time  ,Zechariah 5-8                           ,1 John 1-2
2025-10-24 ,Second Ordinary Time ,Friday of Week 19 of Second Ordinary Time    ,Zechariah 9-14                          ,1 John 3-5
2025-10-25 ,Second Ordinary Time ,Saturday of Week 19 of Second Ordinary Time  ,Malachi 1-2                             ,2 & 3 John 1
2025-10-26 ,Second Ordinary Time ,20 Sunday of Second Ordinary Time            ,Malachi 3-4                             ,Jude 1
2025-10-27 ,Second Ordinary Time ,Monday of Week 20 of Second Ordinary Time    ,1 Chronicles 1-10                       ,
2025-10-28 ,Second Ordinary Time ,Tuesday of Week 20 of Second Ordinary Time   ,1 Chronicles 11-14                      ,
2025-10-29 ,Second Ordinary Time ,Wednesday of Week 20 of Second Ordinary Time ,1 Chronicles 15-17                      ,
2025-10-30 ,Second Ordinary Time ,Thursday of Week 20 of Second Ordinary Time  ,1 Chronicles 18-21                      ,
2025-10-31 ,Second Ordinary Time ,Friday of Week 20 of Second Ordinary Time    ,1 Chronicles 22-24                      ,
2025-11-01 ,Second Ordinary Time ,ALL SAINTS' DAY                              ,1 Chronicles 25-29                      ,
2025-11-02 ,Second Ordinary Time ,21 Sunday of Second Ordinary Time            ,2 Chronicles 1-4                        ,
2025-11-03 ,Second Ordinary Time ,Monday of Week 21 of Second Ordinary Time    ,2 Chronicles 5-8                        ,
2025-11-04 ,Second Ordinary Time ,Tuesday of Week 21 of Second Ordinary Time   ,2 Chronicles 9-12                       ,
2025-11-05 ,Second Ordinary Time ,Wednesday of Week 21 of Second Ordinary Time ,2 Chronicles 13-17                      ,
2025-11-06 ,Second Ordinary Time ,Thursday of Week 21 of Second Ordinary Time  ,2 Chronicles 18-20                      ,
2025-11-07 ,Second Ordinary Time ,Friday of Week 21 of Second Ordinary Time    ,2 Chronicles 21-24                      ,
2025-11-08 ,Second Ordinary Time ,Saturday of Week 21 of Second Ordinary Time  ,2 Chronicles 25-27                      ,
2025-11-09 ,Second Ordinary Time ,22 Sunday of Second Ordinary Time            ,2 Chronicles 28-31                      ,
2025-11-10 ,Second Ordinary Time ,Monday of Week 22 of Second Ordinary Time    ,2 Chronicles 32-34                      ,
2025-11-11 ,Second Ordinary Time ,Tuesday of Week 22 of Second Ordinary Time   ,2 Chronicles 35-36                      ,
2025-11-12 ,Second Ordinary Time ,Wednesday of Week 22 of Second Ordinary Time ,                                        ,Revelation 1-3
2025-11-13 ,Second Ordinary Time ,Thursday of Week 22 of Second Ordinary Time  ,                                        ,Revelation 4-6
2025-11-14 ,Second Ordinary Time ,Friday of Week 22 of Second Ordinary Time    ,                                        ,Revelation 7-9
2025-11-15 ,Second Ordinary Time ,Saturday of Week 22 of Second Ordinary Time  ,                                        ,Revelation 10-11
2025-11-16 ,Second Ordinary Time ,23 Sunday of Second Ordinary Time            ,                                        ,Revelation 12-13
2025-11-17 ,Second Ordinary Time ,Monday of Week 23 of Second Ordinary Time    ,                                        ,Revelation 14-16
2025-11-18 ,Second Ordinary Time ,Tuesday of Week 23 of Second Ordinary Time   ,                                        ,Revelation 17-18
2025-11-19 ,Second Ordinary Time ,Wednesday of Week 23 of Second Ordinary Time ,                                        ,Revelation 19-20
2025-11-20 ,Second Ordinary Time ,Thursday of Week 23 of Second Ordinary Time  ,                                        ,Revelation 21-22
2025-11-21 ,Second Ordinary Time ,Friday of Week 23 of Second Ordinary Time    ,                                        ,
2025-11-22 ,Second Ordinary Time ,Saturday of Week 23 of Second Ordinary Time  ,                                        ,
2025-11-23 ,Second Ordinary Time ,Christ the King                              ,                                        ,
2025-11-24 ,Second Ordinary Time ,Monday of Week 24 of Second Ordinary Time    ,                                        ,
2025-11-25 ,Second Ordinary Time ,Tuesday of Week 24 of Second Ordinary Time   ,                                        ,
2025-11-26 ,Second Ordinary Time ,Wednesday of Week 24 of Second Ordinary Time ,                                        ,
2025-11-27 ,Second Ordinary Time ,Thursday of Week 24 of Second Ordinary Time  ,                                        ,
2025-11-28 ,Second Ordinary Time ,Friday of Week 24 of Second Ordinary Time    ,                                        ,
2025-11-29 ,Second Ordinary Time ,Saturday of Week 24 of Second Ordinary Time  ,                                        ,
