Date       ,Season    ,Day Name               ,OT Reading                              ,NT Reading
2024-02-28 ,Lent      ,15th Day of Season     ,Genesis 46-47                           ,
2024-02-29 ,Lent      ,16th Day of Season     ,Genesis 48-50                           ,
2024-03-01 ,Lent      ,17th Day of Season     ,                                        ,
2024-03-02 ,Lent      ,18th Day of Season     ,                                        ,
2024-03-03 ,Lent      ,19th Day of Season     ,Exodus 1-2                              ,John 12:12-19; Matthew 21:1-17
2024-03-04 ,Lent      ,20th Day of Season     ,Exodus 3-4                              ,John 12:20-36; Matthew 21:18-46
2024-03-05 ,Lent      ,3th Sunday of Season   ,Exodus 5-17:13                          ,John 12:37-50; Matthew 22:1-46
2024-03-06 ,Lent      ,22th Day of Season     ,Exodus 7:14-10                          ,Matthew 23-24
2024-03-07 ,Lent      ,23th Day of Season     ,Exodus 11-12                            ,John 13-16; Luke 22:1-38
2024-03-08 ,Lent      ,24th Day of Season     ,                                        ,John 17-19; Matthew 26:36-27:61
2024-03-09 ,Lent      ,25th Day of Season     ,                                        ,
2024-03-31 ,Easter    ,First Day of Season    ,Exodus 13-15:21                         ,John 20:1-18; Matthew 27:62-28:10
2024-04-01 ,Easter    ,Second Day of Season   ,Exodus 15:22-18                         ,John 20:19-31; Matthew 28:11-20
2024-04-02 ,Easter    ,3th Day of Season      ,Exodus 19-21                            ,John 21
2024-04-03 ,Easter    ,4th Day of Season      ,Exodus 22-24                            ,
2024-04-04 ,Easter    ,5th Day of Season      ,Exodus 25-27                            ,
2024-04-05 ,Easter    ,6th Day of Season      ,Exodus 28-29                            ,
2024-04-06 ,Easter    ,First Sunday of Season ,Exodus 30-31                            ,
2024-04-07 ,Easter    ,8th Day of Season      ,Exodus 32-34                            ,
2024-04-08 ,Easter    ,9th Day of Season      ,Exodus 35-40                            ,
2024-04-09 ,Easter    ,10th Day of Season     ,Leviticus 1-4                           ,
2024-04-10 ,Easter    ,11th Day of Season     ,Leviticus 5-7                           ,
2024-04-11 ,Easter    ,12th Day of Season     ,Leviticus 8-10                          ,
2024-04-12 ,Easter    ,13th Day of Season     ,Leviticus 11-13                         ,
2024-04-13 ,Easter    ,2th Sunday of Season   ,Leviticus 14-15                         ,
2024-04-14 ,Easter    ,15th Day of Season     ,Leviticus 16-18                         ,
2024-04-15 ,Easter    ,16th Day of Season     ,Leviticus 19-20                         ,
2024-04-16 ,Easter    ,17th Day of Season     ,Leviticus 21-23                         ,
2024-04-17 ,Easter    ,18th Day of Season     ,Leviticus 24-25                         ,
2024-04-18 ,Easter    ,19th Day of Season     ,Leviticus 26-27                         ,
2024-04-19 ,Easter    ,20th Day of Season     ,Numbers 1-4                             ,
2024-04-20 ,Easter    ,3th Sunday of Season   ,Numbers 5-7                             ,
2024-04-21 ,Easter    ,22th Day of Season     ,Numbers 8-10                            ,
2024-04-22 ,Easter    ,23th Day of Season     ,Numbers 11-13                           ,
2024-04-23 ,Easter    ,24th Day of Season     ,Numbers 14-16                           ,
2024-04-24 ,Easter    ,25th Day of Season     ,Numbers 17-18                           ,
2024-04-25 ,Easter    ,26th Day of Season     ,Numbers 19-21                           ,
2024-04-26 ,Easter    ,27th Day of Season     ,Numbers 22-24                           ,
2024-04-27 ,Easter    ,4th Sunday of Season   ,Numbers 25-27                           ,
2024-04-28 ,Easter    ,29th Day of Season     ,Numbers 28-30                           ,
2024-04-29 ,Easter    ,30th Day of Season     ,Numbers 31-32                           ,
